1.000E-01 0.500E+00 0.400E+00 8.076E+04  1.750E+05 3.000E+04 1.000E+02 1.000E+01 3.350E+02 1.000E-06 926
  649       0.9953160149697031       0.0078609416002986
  797       0.9054346329579523       0.0024658799946686
  798       0.9403082068086670       0.0226001590084941
  799       0.9751817806593808       0.0427344380223191
  946       0.8504269796543031       0.0172051868098704
  947       0.8853003986476300       0.0373393764166896
  948       0.9201739724983447       0.0574736554305151
  949       0.9550475463490589       0.0776079344443401
  950       0.9899209653423857       0.0977421240511589
 1094       0.7605457413240631       0.0118102339684203
 1095       0.7954191603173904       0.0319444235752395
 1096       0.8302927341681050       0.0520787025890646
 1097       0.8651661531614323       0.0722128921958838
 1098       0.9000397270121470       0.0923471712097093
 1099       0.9349133008628607       0.1124814502235343
 1100       0.9697867198561880       0.1326156398303531
 1242       0.6706645141696992       0.0064152617697966
 1243       0.7055379331630265       0.0265494513766154
 1244       0.7404115070137411       0.0466837303904408
 1245       0.7752849260070684       0.0668179199972601
 1246       0.8101584998577827       0.0869521990110851
 1247       0.8450319188511095       0.1070863886179043
 1248       0.8799054927018242       0.1272206676317298
 1249       0.9147790665525388       0.1473549466455548
 1250       0.9496524855458652       0.1674891362523736
 1251       0.9845260593965799       0.1876234152661991
 1390       0.5807832870153358       0.0010202895711733
 1391       0.6156567060086631       0.0211544791779925
 1392       0.6505302798593773       0.0412887581918175
 1393       0.6854036988527046       0.0614229477986363
 1394       0.7202772727034188       0.0815572268124618
 1395       0.7551506916967461       0.1016914164192810
 1396       0.7900242655474603       0.1218256954331061
 1397       0.8248976845407876       0.1419598850399253
 1398       0.8597712583915023       0.1620941640537508
 1399       0.8946448322422165       0.1822284430675758
 1400       0.9295182512355433       0.2023626326743946
 1401       0.9643918250862580       0.2224969116882201
 1402       0.9992652440795853       0.2426311012950393
 1539       0.5257754788542996       0.0157595069793683
 1540       0.5606490527050134       0.0358937859931938
 1541       0.5955224716983407       0.0560279756000130
 1542       0.6303960455490554       0.0761622546138381
 1543       0.6652694645423827       0.0962964442206569
 1544       0.7001430383930964       0.1164307232344823
 1545       0.7350164573864237       0.1365649128413016
 1546       0.7698900312371384       0.1566991918551266
 1547       0.8047634502304657       0.1768333814619458
 1548       0.8396370240811803       0.1969676604757713
 1549       0.8745105979318941       0.2171019394895963
 1550       0.9093840169252214       0.2372361290964151
 1551       0.9442575907759361       0.2573704081102406
 1552       0.9791310097692634       0.2775045977170598
 1687       0.4358942516999358       0.0103645347807451
 1688       0.4707677481219563       0.0304987690910674
 1689       0.5056412445439773       0.0506330034013893
